id,name,price,status,description,image_url
1,gatling gun,2000,active,strap it to the front of your bike for a good time,https://upload.wikimedia.org/wikipedia/commons/1/19/Gatling_gun_1862_Type_II_%281%29.jpg
2,cushy seat,1000,retired,it's a cushy seat - what do you expect?,https://commons.wikimedia.org/wiki/File:Kontact_Bicycle_Seat_Top.png
3,ancient relic,3000,active,who knows what mystical power it holds,https://upload.wikimedia.org/wikipedia/commons/e/e8/Cuneiform_Tablet_LACMA_M.41.5.1b_%282_of_2%29.jpg
4,widget,500,retired,for when you need to widget but no one will widget with you,https://upload.wikimedia.org/wikipedia/commons/c/c4/Widget_Guinness.jpg
5,assorted pills,5000,active,take these - or don't!,https://upload.wikimedia.org/wikipedia/commons/2/21/Tylenol_rapid_release_pills.jpg
6,an actual bike,10000,active,we actually sell bikes here,https://upload.wikimedia.org/wikipedia/commons/f/f8/Full_suspension_mountain_bike.jpg
7,t-rex costume,120000,active,look ridiculous for your friends - become instagram famous,https://upload.wikimedia.org/wikipedia/commons/b/b4/T-Rex.jpg
8,1/2 a handlebar,1000,active,hope you have the other half,https://upload.wikimedia.org/wikipedia/commons/6/64/Moustache_handlebar.JPG
9,1/2 another handlebar,100000,active,looks like you won't be getting far without this,https://upload.wikimedia.org/wikipedia/commons/6/64/Moustache_handlebar.JPG
10,saved by the bell collector's edition,10000,active,we're selling it - but it's priceless,https://upload.wikimedia.org/wikipedia/commons/b/b4/Saved_by_the_Bell_logo.png
11,El camino,20000,active,put your bike in the back - and your miller lite!,https://upload.wikimedia.org/wikipedia/commons/d/d0/1968_El_Camino.jpg
12,A copy of Moby Dick in greek,10000,active,the book - in its original greek,https://upload.wikimedia.org/wikipedia/commons/7/7b/Moby_Dick_p510_illustration.jpg
13,a retired person,400,retired,they're retired - cut them some slack,https://upload.wikimedia.org/wikipedia/commons/c/c9/US_Navy_060119-N-2736O-002_Retired_Senior_Chief_Storekeeper_Michael_F._Snyder_sits_on_the_flight_deck_aboard_the_amphibious_transport_dock_ship.jpg
14,crossfit bumper plates,50000,active,no one knows how much they really weigh,https://commons.wikimedia.org/wiki/File:Custom_weight_lifting_plates_for_Huskie_Football.jpg
15,coloring books,1200,active,surprisingly popular with adults,https://upload.wikimedia.org/wikipedia/commons/6/6b/Cat_Coloring_Pages.jpg
